TYP#SNO#=2
DATI#SNO#=#DATI#
STATION_NR#SNO#=#STATION_NR#
SHF#SNO#=#ShiftID#
ACC_REP_NR#SNO#=#ACC_REP_NR#
OPID#SNO#=#OPID#
REF#SNO#=#AccDayNum#@TillID@#REFSEQ#
SEQ#SNO#=#SEQ#
SAFTDATI#SNO#=#DATI#
LCUR#SNO#=10
PAN#SNO#=454792*******073
MERCH_ID#SNO#,1=A
MERCH_NAME#SNO#,1=Test Store
MERCH_RECEIPT_SEQ_NR#SNO#,1=0#STATION_NR#00261654
PRI#SNO#,1=1.79
UPR#SNO#,1=1.79
QTY#SNO#,1=1.00
QTYUNIT#SNO#,1=1
GAMT#SNO#,1=1.79
AMT#SNO#,1=1.79
UGAMT#SNO#,1=1.79
UAMT#SNO#,1=1.79
PLU#SNO#,1=106516
NAM#SNO#,1=MONSTER ENERGY 500ML
GRP#SNO#,1=5025
CRD#SNO#,1=7119
BAR#SNO#,1=5060150690007
ART_MERCH_ID#SNO#,1=A
PRC#SNO#,1=20.00
VAMT#SNO#,1=0.30
EXC#SNO#,1=1.49
INC#SNO#,1=1.79
PRI#SNO#,2=1.65
UPR#SNO#,2=1.65
QTY#SNO#,2=1.00
QTYUNIT#SNO#,2=1
GAMT#SNO#,2=1.65
AMT#SNO#,2=1.65
UGAMT#SNO#,2=1.65
UAMT#SNO#,2=1.65
PLU#SNO#,2=102346
NAM#SNO#,2=FRIDGE RAID STHERN F
GRP#SNO#,2=5029
CRD#SNO#,2=6000
BAR#SNO#,2=5000178108497
ART_MERCH_ID#SNO#,2=A
EXC#SNO#,2=1.65
INC#SNO#,2=1.65
CPPAN#SNO#,1=454792*******073
MOP#SNO#,1=6
MOP_ADDX#SNO#,1=50
MOP_ADDY#SNO#,1=13
ROP#SNO#,1=1
PM#SNO#,1=949
PSUB#SNO#,1=13
PA#SNO#,1=3.44
SLSTOT#SNO#=3.44
