productType|productAvgSales|productCaseCost|productCurrentStock|productNoOfOrders|productOnOrder|productOnOrderCases|productOrderPackSize|productPackSize|productProductId|productProductName|productSellingPrice|productShelfLifeDays|productSupplierId|supplierListId1|supplierListType1|supplierListId2|supplierListType2|supplierListId3|supplierListType3|supplierListId4|supplierListType4|supplierListId5|supplierListType5|supplierListId6|supplierListType6|supplierListId7|supplierListType7|supplierListId8|supplierListType8|supplierListId9|supplierListType9|supplierListId10|supplierListType10|supplierListId11|supplierListType11|supplierListId12|supplierListType12|supplierListId13|supplierListType13|supplierListId14|supplierListType14|supplierListId15|supplierListType15|supplierListId16|supplierListType16|productUnitCost|productUnitIncase|barCode||||||||||||||||||||||||
HandheldProductDetail|0|0.01|0|FALSE|0|0|1x1xEACH||C00000000010078|Bakkerij Influencers Actie 2023|10|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.01|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|0.57|0|FALSE|0|0|1x1xEACH||C00000000010079|D2Gb&DbS&SCb Soya Cappuccino Small|3|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.57|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|1.54|0|FALSE|0|0|1x1xEACH||C00000000010080|D2Gb&DbS&SCb Warme Chocolademelk Soya|3|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||1.54|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|0.81|0|FALSE|0|0|1x1xEACH||C00000000010081|SCb Iced Vanilla Soya Latte|3.7|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.81|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|0.98|0|FALSE|0|0|1x1xEACH||C00000000010082|D2Gb&DbS&SCb Soya Cappuccino Medium|3.5|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.98|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|0.68|0|FALSE|0|0|1x1xEACH||C00000000010083|D2Gb&DbS&SCb Soya Flat White|3|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.68|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|0.89|0|FALSE|0|0|1x1xEACH||C00000000010084|D2Gb&DbS&SCb Soya Latte Macchiato|3.5|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.89|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|0.41|0|FALSE|0|0|1x1xEACH||C00000000010085|D2Gb&DbS&SCb Espresso Dub Soya Macch|3.5|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.41|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|1.49|0|FALSE|0|0|1x1xEACH||C00000000010086|D2Gb&DbS&SCb Soya Chai Tea Latte Cinna|3|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||1.49|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|0.63|0|FALSE|0|0|1x1xEACH||C00000000010087|D2Gb&DbS&SCb Haver Cappuccino Small|3|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.63|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|1.14|0|FALSE|0|0|1x1xEACH||C00000000010088|SCb Soya Frapp̩|3.7|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||1.14|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|1.07|0|FALSE|0|0|1x1xEACH||C00000000010089|D2Gb&DbS&SCb Haver Cappuccino Medium|3.5|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||1.07|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|1.63|0|FALSE|0|0|1x1xEACH||C00000000010090|D2Gb&DbS&SCb Warme Chocolademelk Haver|3|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||1.63|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|1.6|0|FALSE|0|0|1x1xEACH||C00000000010091|D2Gb&DbS&SCb Haver Chai Tea Latte Cin|3|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||1.6|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|0.43|0|FALSE|0|0|1x1xEACH||C00000000010092|D2Gb&DbS&SCb Espr Dubbel Haver Macchiat|3.5|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.43|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|0.98|0|FALSE|0|0|1x1xEACH||C00000000010093|D2Gb&DbS&SCb Haver Latte Macchiato|3.5|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.98|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|0.85|0|FALSE|0|0|1x1xEACH||C00000000010094|SCb Iced Vanilla Haver Latte|3.7|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.85|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|0.73|0|FALSE|0|0|1x1xEACH||C00000000010095|D2Gb&DbS&SCb Haver Flat White|3|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.73|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|0.43|0|FALSE|0|0|1x1xEACH||C00000000010096|D2Gb&DbS&SCb Espresso Dubbel Kokos Macc|3.5|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.43|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|0.68|0|FALSE|0|0|1x1xEACH||C00000000010097|D2Gb&DbS&SCb Kokos Cappuccino Small|3|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.68|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|1.19|0|FALSE|0|0|1x1xEACH||C00000000010098|SCb Frapp̩ Haver|3.7|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||1.19|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|1.19|0|FALSE|0|0|1x1xEACH||C00000000010099|D2Gb&DbS&SCb Kokos Cappuccino Medium|3.5|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||1.19|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|1.75|0|FALSE|0|0|1x1xEACH||C00000000010100|D2Gb&DbS&SCb Warme Chocolademelk Kokos|3|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||1.75|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|1.76|0|FALSE|0|0|1x1xEACH||C00000000010101|D2Gb&DbS&SCb Kokos Chai Tea Latte Cin|3|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||1.76|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|1.25|0|FALSE|0|0|1x1xEACH||C00000000010102|SCb Frapp̩ Kokos|3.7|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||1.25|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|0.91|0|FALSE|0|0|1x1xEACH||C00000000010103|SCb Iced Vanilla Kokos Latte|3.7|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.91|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|1.12|0|FALSE|0|0|1x1xEACH||C00000000010104|D2Gb&DbS&SCb Kokos Latte Macchiato|3.5|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||1.12|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|0.8|0|FALSE|0|0|1x1xEACH||C00000000010105|D2Gb&DbS&SCb Kokos Flat White|3|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.8|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|1.91|0|FALSE|0|0|1x1xEACH||C00000000009878|D2Gc Loaded Fries Kipsate|6|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||1.91|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|0.22|0|FALSE|0|0|1x1xEACH||C00000000009785|Gratis Koffie Mystery Guest|0|0|C000000008|HandheldSupplierID|C000000008|||||||||||||||||||||||||||||||0.22|1|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|149.45|0|FALSE|0|0|6x1xEACH||C00000000009786|Suma Lavette Doek Groen 25st|0|0|C000000015|HandheldSupplierID|C000000015|||||||||||||||||||||||||||||||24.908333|6|7.62E+12||||||||||||||||||||||||
HandheldProductDetail|0|18.32|0|FALSE|0|0|8x1xEACH||C00000000009788|Inno Super Smoothie Antioxydant 30cl|3.69|0|C000000006|HandheldSupplierID|C000000006|||||||||||||||||||||||||||||||2.29|8|5.04E+12||||||||||||||||||||||||
HandheldProductDetail|0|18.32|0|FALSE|0|0|8x1xEACH||C00000000009789|Inno Super Smoothie Recharge 30cl|3.69|0|C000000006|HandheldSupplierID|C000000006|||||||||||||||||||||||||||||||2.29|8|5.04E+12||||||||||||||||||||||||
HandheldProductDetail|0|18.08|0|FALSE|0|0|1x1xEACH||C00000000009793|D2Gb&DbS&SCb&SCf Korf Urban GN1/2|0|0|C000000006|HandheldSupplierID|C000000006|||||||||||||||||||||||||||||||18.08|1|372197||||||||||||||||||||||||
HandheldProductDetail|0|13.18|12|FALSE|0|0|4x1xEACH||C00000000009795|Shell Ess. All Weather Screenwash 4L|8.5|0|C000000015|HandheldSupplierID|C000000015|||||||||||||||||||||||||||||||3.295|4|8.60E+12||||||||||||||||||||||||
HandheldProductDetail|0|47.97|0|FALSE|0|0|1x1xEACH||C00000000009797|D2Gb&DbS&SCb Draagtas Wit 22+10X28 250x|0|0|C000000006|HandheldSupplierID|C000000006|||||||||||||||||||||||||||||||47.97|1|372103||||||||||||||||||||||||
HandheldProductDetail|0|11.98|0|FALSE|0|0|34x1xEACH||C00000000009805|D2Gb&DbS&SCb Lantm. Baguetta Bruin 120g|1|0|C000000006|HandheldSupplierID|C000000006|||||||||||||||||||||||||||||||0.352352|34|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|11.42|0|FALSE|0|0|34x1xEACH||C00000000009806|D2Gb&DbS&SCb Lantm. Baguetta Wit 120g|1|0|C000000006|HandheldSupplierID|C000000006|||||||||||||||||||||||||||||||0.335882|34|8.71E+12||||||||||||||||||||||||
HandheldProductDetail|0|38.13|0|FALSE|0|0|1x1xEACH||C00000000009807|SCb Koekenpan 24cm|0|0|C000000006|HandheldSupplierID|C000000006|||||||||||||||||||||||||||||||38.13|1|372199||||||||||||||||||||||||
HandheldProductDetail|0|38.4|0|FALSE|0|0|1x1xEACH||C00000000009808|SCb Crepespan 26cm|0|0|C000000006|HandheldSupplierID|C000000006|||||||||||||||||||||||||||||||38.4|1|372198||||||||||||||||||||||||
HandheldProductDetail|0|16.17|0|FALSE|0|0|21x1xEACH||C00000000009811|Stimorol Max Spearmint 20g|1.35|0|C000000015|HandheldSupplierID|C000000015|||||||||||||||||||||||||||||||0.77|21|7.62E+12||||||||||||||||||||||||
HandheldProductDetail|0|1|0|FALSE|0|0|6x1xEACH||C00000000009812|-Hero Btween Zero White Choc 20g|0.5|0|C000000015|HandheldSupplierID|C000000015|||||||||||||||||||||||||||||||0.166666|6|8.71E+12||||||||||||||||||||||||
