Currstock|ProductID|SubDepartmentID|SellingPrice|VatCode|Description|AltDescription|PackSize|CurrentStock|MinimumStock|LabelType|StockOnOrder|PosTextl|ShelfLableText|DiscountGroup|DiscountAmount|DiscountPercent|Price2|Price3|Price4|Bomm|UofMQty|Unit|AvgCost|DepartmentID|LinkNumber|Weight|SoldInCases|ProductType|SeasonId|RoundingMethod|Inactive|ContentsQty|UnitOfMeasure|UnitOfMeasurePPU|InheritOrderParams|IdealStock|CoverDays|UseTargetMargin|WeightItem|ProdNo|SoFormula|Deleted|CourseID|Purpose|DiaWeight|LabelCount|UsePIDTargetMargin|PIDTargetMargin|BOMType|BOMShowOnReceipt|BOMUseCostPrice|BOMProduction|KPInheritFromSubDep|NotForSale|Price5|Price6|StockUnitID|StockUOM|BaseUnitID|BasePrice|ProductCat|PackUOM|PackUnitID|CompUOM|CompUnitID|IngredientPID|BOMForecast|MaxiPrice|DepositPID|NoStock|ExternalType|ExternalCode|IsSecondaryVAT|DepositPID2|ProductCat2|PrimaryVATText|SecondaryVATText|BOSubDepartmentSubDepartmentID|BOSubDepartmentDepartmentID|BOSubDepartmentDescription|BOSubDepartmentVatCode|BOSubDepartmentTargetMargin|BOSubDepartmentIdealStock|BOSubDepartmentMinimumStock|BOSubDepartmentSOFormula|BOSubDepartmentCoverDays|BOSubDepartmentTargetGoodWastagePct|BOSubDepartmentIGCode_Default|BOSubDepartmentMinVisStock|BOSubDepartmentAge|BOSubDepartmentLocalItemsAllow|BODepartmentDepartmentID|BODepartmentDescription|BODepartmentIGCode_Default|BOVatRatesVatCode|BOVatRatesVatRate|BOBarCodeBarCode|BOProductSumOnOrder|BOProductSumSalesLastWeek|BOProductSumSalesYTD|BOProductSumSalesAVG|BOProductSumSellingPrice|BOProductSumCaseQty|BOProductSumCaseCostPrice|BOProductSumMaxPrice|ProductCategoryNumber|ProductCategorysValue1|UnitConvertFromUnitID|UnitConvertToUnitID|UnitConvertFactor|UnitConvertDeleted|UnitConvertLastChanged|UnitConvertUserID|BOProductAVGCostCalculatedAvgCost|BOProductAVGCostAvgCost|BOProductAVGCostLatestCost|BOVatRatesVatCode|BOVatRatesVatRate|BOVatRatesText|BOSupplierProductSupplierID|BOSupplierProductPrimarySupplier|BOSupplierProductSupplierProductID|BOSupplierProductCaseQuantity|BOSupplierProductRecRetailPrice|BOSupplierProductMaxOrderQty|BOSupplierProductMinOrderQty|BOSupplierProductSplitCaseOrder|BOSupplierProductCaseCostPrice|BOSupplierProductWHCaseQty|BOSupplierProductCaseCostPrice2|BOSupplierProductOrderUOM|BOSupplierProductOrderUnitID|BOSupplierProductOrderPack|BOSupplierProductUseStockUnitInGR|BOSupplierProductStockUnitCost|BOSupplierProductCurrCaseCostPrice|BOSupplierProductBaseUnitCost|BOSupplierProductDepositValue|BOSupplierSupplierID|BOSupplierSupplierName|BOSupplierDeleted|BOSupplierCostPricesSupplierID|BOSupplierCostPricesProductID|BOSupplierCostPricesStoreID|BOSupplierCostPricesCaseCostPrice|BOSupplierCostPricesCaseQty|UnitConvert2FromUnitID|UnitConvert2ToUnitID|UnitConvert2Factor|UnitConvert3FromUnitID|UnitConvert3ToUnitID|UnitConvert3Factor|BOProductCategoryText|BOProductCategory2Value|BOProductCategory2Text|UnitCost|Barcode|TargetMargin|BOStockSUMCalculatedCurrStock
3|C0000000203|502703|3.99|1|-Lonka Fudge Caramel 220g|-Lonka Fudge Caramel 220g||0|0|M|0|null|Lonka Fudge Caramel|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5027|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|1|false|0||0.0|1|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|2.75|3006|1||1||false|false|3.99||false|0||false|null|null|null|null|502703|5027|Confectionary|1|0|0|0|1|0|null|13|0|0|false|5027|Snacks|13|1|9||0|0|0|0.0|3.99|8|12.76|3.99|3006|Misc. Merchandise VAT 1|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|1.39375|1.39375|1|9|9% (1)|C000000015|true|262609|8|2.75|0|0|false|12.76|8|0.0|1|EACH||false|1.175|9.4|1.595|null|C000000015|Lekkerland Nederland|false|C000000015|C0000000203|8016|12.76|8|EACH|EACH|1|EACH|EACH|1||null||0.0||0|3
50|C0000000204|502206|15.0|3|JPS Vol 60g|JPS Vol 60g||0|0|M|0|null|JPS Vol 60g|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5022|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|1|false|0||0.0|1|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|15.0|4000|1||1||false|false|15.0||false|0||false|null|null|null|null|502206|5022|Other Tobacco|3|0|0|0|1|0|null|13|0|0|false|5022|Tobacco|13|3|21||0|0|0|0.0|15.0|8|120.94|15.0|4000|TABAKSWAREN|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|16.97|16.97|3|21|21% (3)|C000000015|true|833185_2303|8|0.0|0|0|false|120.94|8|0.0|1|EACH||false|0.0|0.0|15.1175|null|C000000015|Lekkerland Nederland|false|C000000015|C0000000204|8016|120.94|8|EACH|EACH|1|EACH|EACH|1||null||0.0||0|50
50|C0000000206|502703|3.49|1|-Oldtimers Sneker Zoethoudertj|-Oldtimers Sneker Zoethoudertj||0|0|M|0|null|Ot Snkr Zoethdr 235g|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5027|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|1|false|0||0.0|1|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|3.49|3006|1||1||false|false|3.49||false|0||false|null|null|null|null|502703|5027|Confectionary|1|0|0|0|1|0|null|13|0|0|false|5027|Snacks|13|1|9||0|0|0|0.0|3.49|6|10.73|3.49|3006|Misc. Merchandise VAT 1|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|7.45|7.45|1|9|9% (1)|C000000015|true|248320|6|0.0|0|0|false|10.73|6|0.0|1|EACH||false|1.6833333333333333|10.1|1.7883333333333333|null|C000000015|Lekkerland Nederland|false|C000000015|C0000000206|8016|10.73|6|EACH|EACH|1|EACH|EACH|1||null||0.0||0|50
13|C0000000208|502205|2.25|3|-Mascotte Hulzen Fresh Cliq 100st|-Mascotte Hulzen Fresh Cliq 100st||0|0|M|0|null|-Mascotte Hulzen Fresh Cliq 100st|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5022|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|1|false|0||0.0|1|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|2.25|6019|1||1||false|false|2.25||false|0||false|null|null|null|null|502205|5022|Accessories|3|0|0|0|1|0|null|13|0|0|false|5022|Tobacco|13|3|21||0|0|0|0.0|2.25|5|6.21|2.25|6019|SPECIALITEITEN H|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|1.242|1.242|3|21|21% (3)|C000000015|true|834998|5|2.25|0|0|false|6.21|5|0.0|1|EACH||false|1.1179999999999999|5.59|1.242|null|C000000015|Lekkerland Nederland|false|C000000015|C0000000208|8016|6.21|5|EACH|EACH|1|EACH|EACH|1||null||0.0||0|13
0|C0000000209|502703|4.75|1|-TonysCL Puur Amandel Zeezout |-TonysCL Puur Amandel Zeezout ||0|0|M|0|null|TonysCL Puur AZ 180g|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5027|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|1|false|0||0.0|1|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|4.39|3006|1||1||false|false|4.75||false|0||false|null|null|null|null|502703|5027|Confectionary|1|0|0|0|1|0|null|13|0|0|false|5027|Snacks|13|1|9||0|0|0|0.0|4.75|15|40.98|4.75|3006|Misc. Merchandise VAT 1|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|2.3126666667|2.3126666667|1|9|9% (1)|C000000015|true|133426|15|0.0|0|0|false|40.98|15|0.0|1|EACH||false|2.2|33.0|2.7319999999999998|null|C000000015|Lekkerland Nederland|false|C000000015|C0000000209|8016|40.98|15|EACH|EACH|1|EACH|EACH|1||null||0.0||0|0
50|C0000000211|502703|3.25|1|-RedBand Dropmix Gesuikerd Pun|-RedBand Dropmix Gesuikerd Pun||0|0|M|0|null|RB Dropmix Pz 240g|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5027|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|1|false|0||0.0|1|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|3.25|3006|1||1||false|false|3.25||false|0||false|null|null|null|null|502703|5027|Confectionary|1|0|0|0|1|0|null|13|0|0|false|5027|Snacks|13|1|9||0|0|0|0.0|3.25|15|20.23|3.25|3006|Misc. Merchandise VAT 1|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|22.11|22.11|1|9|9% (1)|C000000015|true|266590|15|0.0|0|0|false|20.23|15|0.0|1|EACH||false|1.3486666666666667|20.23|1.3486666666666667|null|C000000015|Lekkerland Nederland|false|C000000015|C0000000211|8016|20.23|15|EACH|EACH|1|EACH|EACH|1||null||0.0||0|50
0|C0000000216|502501|2.15|1|San Pellegrino Limonata 33cl|San Pellegrino Limonata 33cl||0|0|M|0|null|San Pellegrino Limonata 33cl|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5025|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|1|false|0||0.0|1|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|0.0|6006|1||1||false|false|2.15||false|0||false|null|null|null|null|502501|5025|Carbonated|1|50|0|0|1|0|null|13|0|0|false|5025|Non Alcoholic Beverages|13|1|9||0|0|0|0.0|2.15|24|20.81|2.15|6006|SPECIALITEITEN L|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|0.7695833333|0.7695833333|1|9|9% (1)|C000000015|true|70181|24|0.0|0|0|false|22.19|24|0.0|1|EACH||false|0.0|0.0|0.9245833333333334|null|C000000015|Lekkerland Nederland|false|C000000015|C0000000216|8016|22.19|24|EACH|EACH|1|EACH|EACH|1||null||0.0||0|0
20|C0000000219|502703|3.29|1|-Venco Katjesdrop 166g|-Venco Katjesdrop 166g||0|0|M|0|null|-Venco Katjesdrop 166g|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5027|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|1|false|0||0.0|1|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|1.99|3006|1||1||false|false|3.29||false|0||false|null|null|null|null|502703|5027|Confectionary|1|0|0|0|1|0|null|13|0|0|false|5027|Snacks|13|1|9||0|0|0|0.0|3.29|12|14.83|3.29|3006|Misc. Merchandise VAT 1|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|1.0875|1.0875|1|9|9% (1)|C000000015|true|224626|12|3.29|0|0|false|14.83|12|0.0|1|EACH||false|0.9358333333333334|11.23|1.2358333333333333|null|C000000015|Lekkerland Nederland|false|C000000015|C0000000219|8016|14.83|12|EACH|EACH|1|EACH|EACH|1||null||0.0||0|20
50|C0000000220|502703|3.55|1|-Venco Wintermix 380g|-Venco Wintermix 380g||0|0|M|0|null|Venco Wintermix 380g|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5027|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|1|false|0||0.0|1|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|0.0|3006|1||1||false|false|3.55||false|0||false|null|null|null|null|502703|5027|Confectionary|1|0|0|0|1|0|null|13|0|0|false|5027|Snacks|13|1|9||0|0|0|0.0|3.55|12|19.56|3.55|3006|Misc. Merchandise VAT 1|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|21.21|21.21|1|9|9% (1)|C000000015|true|246417|12|0.0|0|0|false|19.56|12|0.0|1|EACH||false|1.4458333333333335|17.35|1.63|null|C000000015|Lekkerland Nederland|false|C000000015|C0000000220|8016|19.56|12|EACH|EACH|1|EACH|EACH|1||null||0.0||0|50
0|C0000000221|502402|8.25|3|Leesbril R4046 1.50|Leesbril R4046 1.50||0|0|M|0|null|Leesbril R4046 1.50|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5024|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|1|false|0||0.0|1|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|8.25|6019|1||1||false|false|8.25||false|0||false|null|null|null|null|502402|5024|Leisure|3|0|0|0|1|0|null|13|0|0|false|5024|Non-Food|13|3|21||0|0|0|0.0|8.25|1|3.51|8.25|6019|SPECIALITEITEN H|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|3.51|3.51|3|21|21% (3)|C000000015|true|577340|1|0.0|0|0|false|3.51|1|0.0|1|EACH||false|3.64|3.64|3.51|null|C000000015|Lekkerland Nederland|false|C000000015|C0000000221|8016|3.51|1|EACH|EACH|1|EACH|EACH|1||null||0.0||0|09|C0000000224|207|3.8|3|Areon LV Fresco Tutti Frutti|||0|0|M|0|null|Areon LV Fresco Tutti Frutti|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5024|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|1|false|0||0.0|1|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|0.0|2119|1||1||false|false|3.8||false|0||false|null|null|null|null|207|5024|Car Care|3|0|0|0|1|0|null|13|0|0|true|5024|Non-Food|13|3|21||0|0|0|0.0|3.8|12|19.98|3.8|2119|ACCESSOIRES|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|1.665|1.665|3|21|21% (3)|C000000015|true|692034|12|0.0|0|0|false|19.98|12|0.0|1|EACH||false|1.665|19.98|1.665|null|C000000015|Lekkerland Nederland|false|C000000015|C0000000224|8016|19.98|12|EACH|EACH|1|EACH|EACH|1||null||0.0||0|9
