productType|productAvgSales|productCaseCost|productCurrentStock|productNoOfOrders|productOnOrder|productOnOrderCases|productOrderPackSize|productPackSize|productProductId|productProductName|productSellingPrice|productShelfLifeDays|productSupplierId|supplierListId1|supplierListType1|supplierListId2|supplierListType2|supplierListId3|supplierListType3|supplierListId4|supplierListType4|supplierListId5|supplierListType5|supplierListId6|supplierListType6|supplierListId7|supplierListType7|supplierListId8|supplierListType8|supplierListId9|supplierListType9|supplierListId10|supplierListType10|supplierListId11|supplierListType11|supplierListId12|supplierListType12|supplierListId13|supplierListType13|supplierListId14|supplierListType14|supplierListId15|supplierListType15|supplierListId16|supplierListType16|productUnitCost|productUnitIncase|barCode
HandheldProductDetail|0|2.99|0|false|0|0|1x1xEACH||C0000020797|INSIDE SOAP £3.99 X1|3.99|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||2.99|1|9770966849845
HandheldProductDetail|0|1.08|0|false|0|0|1x1xEACH||C0000020798|IWEEKEND NAT SATURDAY £1.5 X1|1.5|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||1.08|1|9772045492461
HandheldProductDetail|0|3.98|0|false|0|0|1x1xEACH||C0000020799|OK BUMPER PACK  £5.3 X1|5.3|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||3.98|1|5021956001175
HandheldProductDetail|0|2.55|0|false|0|0|1x1xEACH||C0000020800|OK WEEKLY £3.4 X1|3.4|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||2.55|1|9771362288337
HandheldProductDetail|0|1.76|0|false|0|0|1x1xEACH||C0000020801|PEOPLE (THE) SUNDAY  NAT SUNDAY £2.2 X1|2.2|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||1.76|1|9770956808876
HandheldProductDetail|0|3.74|0|false|0|0|1x1xEACH||C0000020803|PINK £4.99 X1|4.99|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||3.74|1|9771740149755
HandheldProductDetail|0|3.94|0|false|0|0|1x1xEACH||C0000020804|RADIO TMS LON ANGLIA MIDL £5.25 X1|5.25|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||3.94|1|977096188770552
HandheldProductDetail|0|3.94|0|false|0|0|1x1xEACH||C0000020805|RADIO TMS STH/WEST/S WEST £5.25 X1|5.25|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||3.94|1|977096188671552
HandheldProductDetail|0|0.96|0|false|0|0|1x1xEACH||C0000020806|RECORD ENG FRIDAY £1.2 X1|1.2|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||0.96|1|9770956806551
HandheldProductDetail|0|0.96|0|false|0|0|1x1xEACH||C0000020807|RECORD ENG MONDAY £1.2 X1|1.2|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||0.96|1|9770956806513
HandheldProductDetail|0|1.44|0|false|0|0|1x1xEACH||C0000020808|RECORD ENG SATURDAY £1.8 X1|1.8|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||1.44|1|9770956806568
HandheldProductDetail|0|0.96|0|false|0|0|1x1xEACH||C0000020809|RECORD ENG TUESDAY £1.2 X1|1.2|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||0.96|1|9770956806520
HandheldProductDetail|0|0.96|0|false|0|0|1x1xEACH||C0000020810|RECORD ENG WEDNESDAY £1.2 X1|1.2|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||0.96|1|9770956806537
HandheldProductDetail|0|2.2|0|false|0|0|1x1xEACH||C0000020811|SUNDAY EXPRESS NAT SUNDAY £2.2 X1|2.2|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||2.2|1|9770039519170
HandheldProductDetail|0|1.77|0|false|0|0|1x1xEACH||C0000020812|SUNDAY EXPRESS SCO SUNDAY £2.2 X1|2.2|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||1.77|1|9771358587475
HandheldProductDetail|0|2.0|0|false|0|0|1x1xEACH||C0000020813|SUNDAY MAIL NAT SUNDAY £2.5 X1|2.5|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||2.0|1|9771360241471
HandheldProductDetail|0|2.0|0|false|0|0|1x1xEACH||C0000020814|SUNDAY MAIL SCO SUNDAY £2.5 X1|2.5|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||2.0|1|9770307587870
HandheldProductDetail|0|1.6|0|false|0|0|1x1xEACH||C0000020815|SUNDAY SPORT IRE SUNDAY  £2 X1|2|0|C000000037|HandheldSupplierID|C000000037|||||||||||||||||||||||||||||||1.6|1|9660965398962
