ShiftRepNr_TillNo_1,StoreID,DayRepNr,ShiftRepNr_TillNo_2,T1TillID,T2TillID,T1OptrID,T2OptrID,T1POS,T2POS
543,5000,635,743,11,12,1200,1701,1,2
543,5001,635,743,11,12,1201,1702,1,2
543,5002,635,743,11,12,1202,1703,1,2
544,5003,636,744,11,12,1203,1704,1,2
545,5004,637,745,11,12,1204,1705,1,2
743,5005,635,743,11,12,1205,1706,1,2
546,5006,638,746,11,12,1206,1707,1,2
543,5007,635,743,11,12,1207,1708,1,2
547,5008,639,747,11,12,1208,1709,1,2
543,5009,635,743,11,12,1209,1710,1,2
543,5010,635,743,11,12,1210,1711,1,2
545,5011,637,745,11,12,1211,1712,1,2
743,5012,635,743,11,12,1212,1713,1,2
548,5013,640,748,11,12,1213,1714,1,2
543,5014,635,743,11,12,1214,1715,1,2
543,5015,635,743,11,12,1215,1716,1,2
543,5016,635,743,11,12,1216,1717,1,2
544,5017,636,744,11,12,1217,1718,1,2
543,5018,635,743,11,12,1218,1719,1,2
543,5019,635,743,11,12,1219,1720,1,2
543,5020,635,743,11,12,1220,1721,1,2
543,5021,635,743,11,12,1221,1722,1,2
543,5022,635,743,11,12,1222,1723,1,2
543,5023,635,743,11,12,1223,1724,1,2
549,5024,641,749,11,12,1224,1725,1,2
543,5025,635,743,11,12,1225,1726,1,2
550,5026,642,750,11,12,1226,1727,1,2
543,5027,635,743,11,12,1227,1728,1,2
551,5028,643,751,11,12,1228,1729,1,2
543,5029,635,743,11,12,1229,1730,1,2
552,5030,644,752,11,12,1230,1731,1,2
553,5031,645,753,11,12,1231,1732,1,2
554,5032,646,754,11,12,1232,1733,1,2
543,5033,635,743,11,12,1233,1734,1,2
543,5034,635,743,11,12,1234,1735,1,2
555,5035,647,755,11,12,1235,1736,1,2
543,5036,635,743,11,12,1236,1737,1,2
556,5037,648,756,11,12,1237,1738,1,2
543,5038,635,743,11,12,1238,1739,1,2
543,5039,635,743,11,12,1239,1740,1,2
557,5040,649,757,11,12,1240,1741,1,2
543,5041,635,743,11,12,1241,1742,1,2
558,5042,650,758,11,12,1242,1743,1,2
559,5043,651,759,11,12,1243,1744,1,2
543,5044,635,743,11,12,1244,1745,1,2
543,5045,635,743,11,12,1245,1746,1,2
543,5046,635,743,11,12,1246,1747,1,2
560,5047,652,760,11,12,1247,1748,1,2
561,5048,653,761,11,12,1248,1749,1,2
743,5049,635,743,11,12,1249,1750,1,2
543,5050,635,743,11,12,1250,1751,1,2
562,5051,654,762,11,12,1251,1752,1,2
543,5052,635,743,11,12,1252,1753,1,2
