productType|productAvgSales|productCaseCost|productCurrentStock|productNoOfOrders|productOnOrder|productOnOrderCases|productOrderPackSize|productPackSize|productProductId|productProductName|productSellingPrice|productShelfLifeDays|productSupplierId|supplierListId1|supplierListType1|supplierListId2|supplierListType2|supplierListId3|supplierListType3|supplierListId4|supplierListType4|supplierListId5|supplierListType5|supplierListId6|supplierListType6|supplierListId7|supplierListType7|supplierListId8|supplierListType8|supplierListId9|supplierListType9|supplierListId10|supplierListType10|supplierListId11|supplierListType11|supplierListId12|supplierListType12|supplierListId13|supplierListType13|supplierListId14|supplierListType14|supplierListId15|supplierListType15|supplierListId16|supplierListType16|productUnitCost|productUnitIncase|barCode
HandheldProductDetail|0|0.01|0|false|0|0|1x1xEACH||C00000000010078|Bakkerij Influencers Actie 2023|10|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.01|1|8711533052665
HandheldProductDetail|0|0.57|0|false|0|0|1x1xEACH||C00000000010079|D2Gb&DbS&SCb Soya Cappuccino Small|2.9|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.57|1|8711533320047
HandheldProductDetail|0|1.54|0|false|0|0|1x1xEACH||C00000000010080|D2Gb&DbS&SCb Warme Chocolademelk Soya|2.9|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||1.54|1|8711533320061
HandheldProductDetail|0|0.81|0|false|0|0|1x1xEACH||C00000000010081|SCb Iced Vanilla Soya Latte|3.7|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.81|1|8711533320115
HandheldProductDetail|0|0.98|0|false|0|0|1x1xEACH||C00000000010082|D2Gb&DbS&SCb Soya Cappuccino Medium|3.4|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.98|1|8711533320054
HandheldProductDetail|0|0.68|0|false|0|0|1x1xEACH||C00000000010083|D2Gb&DbS&SCb Soya Flat White|2.9|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.68|1|8711533320108
HandheldProductDetail|0|0.89|0|false|0|0|1x1xEACH||C00000000010084|D2Gb&DbS&SCb Soya Latte Macchiato|3.4|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.89|1|8711533320092
HandheldProductDetail|0|0.41|0|false|0|0|1x1xEACH||C00000000010085|D2Gb&DbS&SCb Espresso Dub Soya Macch|3.4|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.41|1|8711533320085
HandheldProductDetail|0|1.49|0|false|0|0|1x1xEACH||C00000000010086|D2Gb&DbS&SCb Soya Chai Tea Latte Cinna|2.9|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||1.49|1|8711533320078
HandheldProductDetail|0|0.63|0|false|0|0|1x1xEACH||C00000000010087|D2Gb&DbS&SCb Haver Cappuccino Small|2.9|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||0.63|1|8711533320139
