Currstock|ProductID|SubDepartmentID|SellingPrice|VatCode|Description|AltDescription|PackSize|CurrentStock|MinimumStock|LabelType|StockOnOrder|PosTextl|ShelfLableText|DiscountGroup|DiscountAmount|DiscountPercent|Price2|Price3|Price4|Bomm|UofMQty|Unit|AvgCost|DepartmentID|LinkNumber|Weight|SoldInCases|ProductType|SeasonId|RoundingMethod|Inactive|ContentsQty|UnitOfMeasure|UnitOfMeasurePPU|InheritOrderParams|IdealStock|CoverDays|UseTargetMargin|WeightItem|ProdNo|SoFormula|Deleted|CourseID|Purpose|DiaWeight|LabelCount|UsePIDTargetMargin|PIDTargetMargin|BOMType|BOMShowOnReceipt|BOMUseCostPrice|BOMProduction|KPInheritFromSubDep|NotForSale|Price5|Price6|StockUnitID|StockUOM|BaseUnitID|BasePrice|ProductCat|PackUOM|PackUnitID|CompUOM|CompUnitID|IngredientPID|BOMForecast|MaxiPrice|DepositPID|NoStock|ExternalType|ExternalCode|IsSecondaryVAT|DepositPID2|ProductCat2|PrimaryVATText|SecondaryVATText|BOSubDepartmentSubDepartmentID|BOSubDepartmentDepartmentID|BOSubDepartmentDescription|BOSubDepartmentVatCode|BOSubDepartmentTargetMargin|BOSubDepartmentIdealStock|BOSubDepartmentMinimumStock|BOSubDepartmentSOFormula|BOSubDepartmentCoverDays|BOSubDepartmentTargetGoodWastagePct|BOSubDepartmentIGCode_Default|BOSubDepartmentMinVisStock|BOSubDepartmentAge|BOSubDepartmentLocalItemsAllow|BODepartmentDepartmentID|BODepartmentDescription|BODepartmentIGCode_Default|BOVatRatesVatCode|BOVatRatesVatRate|BOBarCodeBarCode|BOProductSumOnOrder|BOProductSumSalesLastWeek|BOProductSumSalesYTD|BOProductSumSalesAVG|BOProductSumSellingPrice|BOProductSumCaseQty|BOProductSumCaseCostPrice|BOProductSumMaxPrice|ProductCategoryNumber|ProductCategorysValue1|UnitConvertFromUnitID|UnitConvertToUnitID|UnitConvertFactor|UnitConvertDeleted|UnitConvertLastChanged|UnitConvertUserID|BOProductAVGCostCalculatedAvgCost|BOProductAVGCostAvgCost|BOProductAVGCostLatestCost|BOVatRatesVatCode|BOVatRatesVatRate|BOVatRatesText|BOSupplierProductSupplierID|BOSupplierProductPrimarySupplier|BOSupplierProductSupplierProductID|BOSupplierProductCaseQuantity|BOSupplierProductRecRetailPrice|BOSupplierProductMaxOrderQty|BOSupplierProductMinOrderQty|BOSupplierProductSplitCaseOrder|BOSupplierProductCaseCostPrice|BOSupplierProductWHCaseQty|BOSupplierProductCaseCostPrice2|BOSupplierProductOrderUOM|BOSupplierProductOrderUnitID|BOSupplierProductOrderPack|BOSupplierProductUseStockUnitInGR|BOSupplierProductStockUnitCost|BOSupplierProductCurrCaseCostPrice|BOSupplierProductBaseUnitCost|BOSupplierProductDepositValue|BOSupplierSupplierID|BOSupplierSupplierName|BOSupplierDeleted|BOSupplierCostPricesSupplierID|BOSupplierCostPricesProductID|BOSupplierCostPricesStoreID|BOSupplierCostPricesCaseCostPrice|BOSupplierCostPricesCaseQty|UnitConvert2FromUnitID|UnitConvert2ToUnitID|UnitConvert2Factor|UnitConvert3FromUnitID|UnitConvert3ToUnitID|UnitConvert3Factor|BOProductCategoryText|BOProductCategory2Value|BOProductCategory2Text|UnitCost|Barcode|TargetMargin|BOStockSUMCalculatedCurrStock
1|C00000000009877|501203|5.0|1|-D2Gc Getopte Friet Hete Kip|-D2Gc Getopte Friet Hete Kip|null|null|null|M|null|null|D2Gc Getopte F HK|null|null|null|null|null|null|null|1|EACH|null|5012|null|null|false|null|null|null|false|null|null|null|false|null|null|false|false|null|1|false|0|null|null|1|true|null|0|0|0.0|0|true|false|0.0|0.0|EACH|1|EACH|0.0|3306|1||1||false|false|5.0|null|false|0|null|false|null|null|null|null|501203|5012|Other Food Service|1|0|0|0|1|0|null|13|0|0|false|5012|Food Service|13|1|9||0|0|0|0.0|5.0|1|2.4|5.0|3306|KRUIDENIERSWAREN L|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|2.4|2.4|1|9|9% (1)|C000000009|true|365083|1|0.0|0|0|false|2.4|1|0.0|1|EACH||false|2.4|2.4|2.4|null|C000000009|Deli2Go Bakery&Cafetaria&Snackwall (Dumm|false|C000000009|C00000000009877|8016|2.4|1|EACH|EACH|1|EACH|EACH|1||null||0.0||0|1
13|C00000000009878|501203|6.25|1|D2Gc Loaded Fries Kipsate|D2Gc Loaded Fries Kipsate|null|null|null|M|null|null|D2Gc Loaded Fries Kipsate|null|null|null|null|null|null|null|1|EACH|null|5012|null|null|false|null|null|null|false|null|null|null|false|null|null|false|false|null|1|false|0|null|null|1|true|null|0|0|0.0|0|true|false|0.0|0.0|EACH|1|EACH|0.0|3306|1||1||false|false|6.25|null|false|0|null|false|null|null|null|null|501203|5012|Other Food Service|1|0|0|0|1|0|null|13|0|0|false|5012|Food Service|13|1|9||0|0|0|0.0|6.0|1|2.88|6.25|3306|KRUIDENIERSWAREN L|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|2.85|1.91|1|9|9% (1)|C000000009|true|365084|1|0.0|0|0|false|1.91|1|0.0|1|EACH||false|2.43|2.43|1.91|null|C000000009|Deli2Go Bakery&Cafetaria&Snackwall (Dumm|false|C000000009|C00000000009878|8016|1.91|1|EACH|EACH|1|EACH|EACH|1||null||0.0||0|13
1|C00000000010039|705700|4.75|1|D2Gb&SCb Broodje Dubbel Ei|D2Gb&SCb Broodje Dubbel Ei||0|0|M|0|null|D2Gb&SCb Broodje Dubbel Ei|0|0.0|0|0.0|0.0|0.0| |1|EACH|null|5012|0|0.0|false|   |null|0|false|0|||false|0|0|false|false|null|1|false|0||0.0|1|true|0|0|0|0.0|0|true|false|0.0|0.0|EACH|1|EACH|4.75|3306|1||1||false|false|4.75||false|0||false|null|null|null|null|705700|5012|National Fast Food Products|1|0|0|0|1|0|0|13|0|0|false|5012|Food Service|13|1|9||0|0|0|0.0|4.75|1|1.32|4.75|3306|KRUIDENIERSWAREN L|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|1.14|1.14|1|9|9% (1)|C000000009|true|372576|1|0.0|0|0|false|1.29|1|0.0|1|EACH||false|1.14|1.14|1.29|null|C000000009|Deli2Go Bakery&Cafetaria&Snackwall (Dumm|false|C000000009|C00000000010039|8016|1.29|1|EACH|EACH|1|EACH|EACH|1||null||0.0||0|1
1|C00000000010040|705700|6.5|1|D2Gb&SCb Focaccia Avocado|D2Gb&SCb Focaccia Avocado||0|0|M|0|null|D2Gb&SCb Focaccia Avocado|0|0.0|0|0.0|0.0|0.0| |1|EACH|null|5012|0|0.0|false|   |null|0|false|0|||false|0|0|false|false|null|1|false|0||0.0|1|true|0|0|0|0.0|0|true|false|0.0|0.0|EACH|1|EACH|6.25|3306|1||1||false|false|6.5||false|0||false|null|null|null|null|705700|5012|National Fast Food Products|1|0|0|0|1|0|0|13|0|0|false|5012|Food Service|13|1|9||0|0|0|0.0|4.5|1|1.74|6.5|3306|KRUIDENIERSWAREN L|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|2.14|2.14|1|9|9% (1)|C000000009|true|372575|1|0.0|0|0|false|1.77|1|0.0|1|EACH||false|2.14|2.14|1.77|null|C000000009|Deli2Go Bakery&Cafetaria&Snackwall (Dumm|false|C000000009|C00000000010040|8016|1.77|1|EACH|EACH|1|EACH|EACH|1||null||0.0||0|1
1|C00000000010041|705700|3.8|1|D2Gb&DbS&SCb Vanille Latte|D2Gb&DbS&SCb Vanille Latte||0|0|M|0|null|D2Gb&DbS&SCb Vanille Latte|0|0.0|0|0.0|0.0|0.0| |1|EACH|null|5012|0|0.0|false|   |null|0|false|0|||false|0|0|false|false|null|1|false|0||0.0|1|true|0|0|0|0.0|0|true|false|0.0|0.0|EACH|1|EACH|3.8|3306|1||1||false|false|3.8||false|0||false|null|null|null|null|705700|5012|National Fast Food Products|1|0|0|0|1|0|0|13|0|0|false|5012|Food Service|13|1|9||0|0|0|0.0|3.8|1|1.96|3.8|3306|KRUIDENIERSWAREN L|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|1.62|1.62|1|9|9% (1)|C000000009|true|372580|1|0.0|0|0|false|0.86|1|0.0|1|EACH||false|1.96|1.96|0.86|0|C000000009|Deli2Go Bakery&Cafetaria&Snackwall (Dumm|false|C000000009|C00000000010041|8016|0.86|1|EACH|EACH|1|EACH|EACH|1||null||0.0||0|1
0|C00000000010042|705700|3.0|1|D2Gb&DbS&SCb Mini Balletjes|D2Gb&DbS&SCb Mini Balletjes||0|0|M|0|null|D2Gb&DbS&SCb Mini Balletjes|0|0.0|0|0.0|0.0|0.0| |1|EACH|null|5012|0|0.0|false|   |null|0|false|0|||false|0|0|false|false|null|1|false|0||0.0|1|true|0|0|0|0.0|0|true|false|0.0|0.0|EACH|1|EACH|3.0|3306|1||1||false|false|3.0||false|0||false|null|null|null|null|705700|5012|National Fast Food Products|1|0|0|0|1|0|0|13|0|0|false|5012|Food Service|13|1|9||0|0|0|0.0|3.0|1|1.13|3.0|3306|KRUIDENIERSWAREN L|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|0.0|1.16|1|9|9% (1)|C000000009|true|372581|1|0.0|0|0|false|1.17|1|0.0|1|EACH||false|1.16|1.16|1.17|null|C000000009|Deli2Go Bakery&Cafetaria&Snackwall (Dumm|false|C000000009|C00000000010042|8016|1.17|1|EACH|EACH|1|EACH|EACH|1||null||0.0||0|0
0|C00000000010043|705700|6.0|1|D2Gb&DbS&SCb Broodje Mini Balletjes|D2Gb&DbS&SCb Broodje Mini Balletjes||0|0|M|0|null|D2Gb&DbS&SCb Broodje Mini Balletjes|0|0.0|0|0.0|0.0|0.0| |1|EACH|null|5012|0|0.0|false|   |null|0|false|0|||false|0|0|false|false|null|1|false|0||0.0|1|true|0|0|0|0.0|0|true|false|0.0|0.0|EACH|1|EACH|6.0|3306|1||1||false|false|6.0||false|0||false|null|null|null|null|705700|5012|National Fast Food Products|1|0|0|0|1|0|0|13|0|0|false|5012|Food Service|13|1|9||0|0|0|0.0|6.0|1|1.38|6.0|3306|KRUIDENIERSWAREN L|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|0.0|1.39|1|9|9% (1)|C000000009|true|372577|1|0.0|0|0|false|1.57|1|0.0|1|EACH||false|1.39|1.39|1.57|null|C000000009|Deli2Go Bakery&Cafetaria&Snackwall (Dumm|false|C000000009|C00000000010043|8016|1.57|1|EACH|EACH|1|EACH|EACH|1||null||0.0||0|0
1|C00000000010044|705700|3.8|1|-D2Gb&DbS&SCb Kokos Karamelcappuccino|-D2Gb&DbS&SCb Kokos Karamelcappuccino||0|0|M|0|null|-D2Gb&DbS&SCb Kokos Karamelcappuccino|0|0.0|0|0.0|0.0|0.0| |1|EACH|null|5012|0|0.0|false|   |null|0|false|0|||false|0|0|false|false|null|1|false|0||0.0|1|true|0|0|0|0.0|0|true|false|0.0|0.0|EACH|1|EACH|3.8|3306|1||1||false|false|3.8||false|0||false|null|null|null|null|705700|5012|National Fast Food Products|1|0|0|0|1|0|0|13|0|0|false|5012|Food Service|13|1|9||0|0|0|0.0|3.8|1|0.57|3.8|3306|KRUIDENIERSWAREN L|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|0.57|0.57|1|9|9% (1)|C000000009|true|372579|1|0.0|0|0|false|0.57|1|0.0|1|EACH||false|0.57|0.57|0.57|null|C000000009|Deli2Go Bakery&Cafetaria&Snackwall (Dumm|false|C000000009|C00000000010044|8016|0.57|1|EACH|EACH|1|EACH|EACH|1||null||0.0||0|1
1|C00000000010045|705700|4.5|1|-D2Gb&DbS&SCb Broodje Graskaas|-D2Gb&DbS&SCb Broodje Graskaas|null|null|null|M|null|null|Broodje Graskaas|null|null|null|null|null|null|null|1|EACH|null|5012|null|null|false|null|null|null|false|null|null|null|false|null|null|false|false|null|1|false|0|null|null|1|true|null|0|0|0.0|0|true|false|0.0|0.0|EACH|1|EACH|0.0|3306|1||1||false|false|4.5|null|false|0|null|false|null|null|null|null|705700|5012|National Fast Food Products|1|0|0|0|1|0|0|13|0|0|false|5012|Food Service|13|1|9||0|0|0|0.0|4.5|1|1.11|4.5|3306|KRUIDENIERSWAREN L|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|1.11|1.11|1|9|9% (1)|C000000009|true|372578|1|0.0|0|0|false|1.11|1|0.0|1|EACH||false|1.11|1.11|1.11|null|C000000009|Deli2Go Bakery&Cafetaria&Snackwall (Dumm|false|C000000009|C00000000010045|8016|1.11|1|EACH|EACH|1|EACH|EACH|1||null||0.0||0|1
1|C00000000010078|705700|10.0|1|Bakkerij Influencers Actie 2023|Bakkerij Influencers Actie 2023|null|null|null|M|null|null|Bakkerij Influencers Actie 2023|null|null|null|null|null|null|null|1|EACH|null|5012|null|null|false|null|null|null|false|null|null|null|false|null|null|false|false|null|1|false|0|null|null|1|true|null|0|0|0.0|0|true|false|0.0|0.0|EACH|1|EACH|0.0|3306|1||1||false|false|10.0|null|false|0|null|false|null|null|null|null|705700|5012|National Fast Food Products|1|0|0|0|1|0|0|13|0|0|false|5012|Food Service|13|1|9||0|0|0|0.0|10.0|1|0.01|10.0|3306|KRUIDENIERSWAREN L|EACH|EACH|1|false|2019-10-30 22:02:09.913|ADMIN|0.0|0.01|0.01|1|9|9% (1)|C000000009|true|372671|1|0.0|0|0|false|0.01|1|0.0|1|EACH||false|0.01|0.01|0.01|null|C000000009|Deli2Go Bakery&Cafetaria&Snackwall (Dumm|false|C000000009|C00000000010078|8016|0.01|1|EACH|EACH|1|EACH|EACH|1||null||0.0||0|1
