ShiftRepNr_TillNo_1,StoreID,DayRepNr,ShiftRepNr_TillNo_2
542,5000,634,742
542,5001,634,742
542,5002,634,742
543,5003,635,743
544,5004,636,744
742,5005,634,742
545,5006,637,745
542,5007,634,742
546,5008,638,746
542,5009,634,742
542,5010,634,742
544,5011,636,744
742,5012,634,742
547,5013,639,747
542,5014,634,742
542,5015,634,742
542,5016,634,742
543,5017,635,743
542,5018,634,742
542,5019,634,742
542,5020,634,742
542,5021,634,742
542,5022,634,742
542,5023,634,742
548,5024,640,748
542,5025,634,742
549,5026,641,749
542,5027,634,742
550,5028,642,750
542,5029,634,742
551,5030,643,751
552,5031,644,752
553,5032,645,753
542,5033,634,742
542,5034,634,742
554,5035,646,754
542,5036,634,742
555,5037,647,755
542,5038,634,742
542,5039,634,742
556,5040,648,756
542,5041,634,742
557,5042,649,757
558,5043,650,758
542,5044,634,742
542,5045,634,742
542,5046,634,742
559,5047,651,759
560,5048,652,760
742,5049,634,742
542,5050,634,742
561,5051,653,761
542,5052,634,742
742,5053,634,742
742,5054,634,742
723,5055,615,723
542,5056,634,742
562,5057,654,762
542,5058,634,742
542,5059,634,742
563,5060,655,763
564,5061,656,764
565,5062,657,765
566,5063,658,766
542,5064,634,742
567,5065,659,767
568,5066,660,768
542,5067,634,742
569,5068,661,769
542,5069,634,742
570,5070,662,770
542,5071,634,742
571,5072,663,771
542,5073,634,742
572,5074,664,772
542,5075,634,742
735,5076,627,735
573,5077,665,773
574,5078,666,774
575,5079,667,775
742,5080,634,742
542,5081,634,742
542,5082,634,742
576,5083,668,776
542,5084,634,742
577,5085,669,777
542,5086,634,742
542,5087,634,742
542,5088,634,742
542,5089,634,742
742,5090,634,742
542,5091,634,742
742,5092,634,742
578,5093,670,778
543,5094,635,743
543,5095,635,743
543,5096,635,743
743,5097,635,743
743,5098,635,743
543,5099,635,743
543,5100,635,743
543,5101,635,743
580,5102,672,780
581,5103,673,781
543,5104,635,743
548,5105,640,748
543,5106,635,743
582,5107,674,782
543,5108,635,743
583,5109,675,783
543,5110,635,743
543,5111,635,743
743,5112,635,743
543,5113,635,743
584,5114,676,784
585,5115,677,785
543,5116,635,743
543,5117,635,743
743,5118,635,743
543,5119,635,743
543,5120,635,743
544,5121,636,744
586,5122,678,786
735,5123,628,225
587,5124,679,787
543,5125,635,743
543,5126,635,743
543,5127,635,743
543,5128,635,743
724,5129,616,724
543,5130,635,743
543,5131,635,743
544,5132,636,744
543,5133,635,743
543,5134,635,743
543,5135,635,743
588,5136,680,788
589,5137,681,789
590,5138,682,790
543,5139,635,743
524,5140,616,225
591,5141,683,791
543,5142,635,743
543,5143,635,743
543,5144,635,743
543,5145,635,743
543,5146,635,743
543,5147,635,743
592,5148,684,792
543,5149,635,743
543,5150,635,743
543,5151,635,743
543,5152,635,743
543,5153,635,743
743,5154,635,743
543,5155,635,743
593,5156,685,793
594,5157,686,794
595,5158,687,795
543,5159,635,743
543,5160,635,743
724,5161,616,724
543,5162,635,743
543,5163,635,743
543,5164,635,743
543,5165,635,743
596,5166,688,796
597,5167,689,797
598,5168,690,798
599,5169,691,799
535,5170,627,723
724,5171,616,724
600,5172,692,800
543,5173,635,743
743,5174,635,743
601,5175,693,801
543,5176,635,743
543,5177,635,743
724,5178,616,724
602,5179,694,802
543,5180,635,743
543,5181,635,743
543,5182,635,743
543,5183,635,743
603,5184,695,803
544,5185,636,744
604,5186,696,804
543,5187,635,743
543,5188,635,743
541,5189,633,741
541,5190,633,741
541,5191,633,741
541,5192,633,741
741,5193,633,741
604,5194,696,804
605,5195,697,805
541,5196,633,741
741,5197,633,741
541,5198,633,741
741,5199,633,741
541,5200,633,741
541,5201,633,741
541,5202,633,741
541,5203,633,741
541,5204,633,741
541,5205,633,741
541,5206,633,741
541,5207,633,741
606,5208,698,806
541,5209,633,741
541,5210,633,741
607,5211,699,807
522,5212,614,223
541,5213,633,741
741,5214,633,741
541,5215,633,741
541,5216,633,741
741,5217,633,741
522,5218,614,722
541,5219,633,741
722,5220,614,722
522,5221,614,722
541,5222,633,741
541,5223,633,741
545,5224,637,745
608,5225,700,808
541,5226,633,741
741,5227,633,741
541,5228,633,741
541,5229,633,741
541,5230,633,741
541,5231,633,741
522,5232,614,722
541,5233,633,741
609,5234,701,809
541,5235,633,741
541,5236,633,741
610,5237,702,810
541,5238,633,741
611,5239,703,811
722,5240,614,722
541,5241,633,741
541,5242,633,741
612,5243,704,812
722,5244,614,722
722,5245,614,722
722,5246,614,722
522,5247,614,722
613,5248,705,813
614,5249,706,814
541,5250,633,741
722,5251,614,722
615,5252,707,815
741,5253,633,741
616,5254,708,816
541,5255,633,741
541,5256,633,741
722,5257,614,722
542,5258,634,742
722,5259,614,722
541,5260,633,741
541,5261,633,741
541,5262,633,741
617,5263,709,817
541,5264,633,741
722,5265,614,722
541,5266,633,741
541,5267,633,741
522,5268,614,722
541,5269,633,741
541,5270,633,741
541,5271,633,741
541,5272,633,741
522,5273,614,722
618,5274,710,818
619,5275,711,819
522,5276,614,223
535,5277,627,735
541,5278,633,741
522,5279,614,223
541,5280,633,741
620,5281,712,820
522,5282,614,223
541,5283,633,741
542,5284,634,742
542,5285,634,742
542,5286,634,742
542,5287,634,742
523,5288,615,723
742,5289,634,742
542,5290,634,742
621,5291,713,821
523,5292,615,224
542,5293,634,742
542,5294,634,742
542,5295,634,742
542,5296,634,742
542,5297,634,742
542,5299,634,742
541,5300,633,741
521,5301,613,null
521,5302,613,721
539,5303,631,739
539,5305,631,739
539,5306,631,739
539,5307,631,739
739,5308,631,739
540,5310,632,740
521,5312,613,721
539,5313,631,739
539,5314,631,739
521,5315,613,721
739,5316,631,739
539,5318,631,739
539,5319,631,739
539,5320,631,739
539,5321,631,739
539,5322,631,739
539,5323,631,739
539,5324,631,739
539,5325,631,739
539,5326,631,739
521,5327,613,721
521,5329,613,721
521,5330,613,721
521,5331,613,721
539,5332,631,739
521,5333,613,null
539,5334,631,739
521,5335,613,721
539,5336,631,739
539,5337,631,739
539,5338,631,739
739,5339,631,739
539,5340,631,739
739,5341,631,739
521,5342,613,721
521,5343,613,721
521,5344,613,721
539,5345,631,739
539,5346,631,739
739,5347,631,739
539,5348,631,739
539,5349,631,739
521,5350,613,721
539,5351,631,739
539,5352,631,739
721,5353,613,721
521,5354,613,721
521,5355,613,721
539,5356,631,739
539,5357,631,739
539,5358,631,739
539,5359,631,739
521,5361,613,721
539,5363,631,739
539,5364,631,739
539,5365,631,739
539,5366,631,739
539,5367,631,739
539,5368,631,739
521,5369,613,null
539,5370,631,739
539,5371,631,739
539,5372,631,739
521,5373,613,721
539,5374,631,739
739,5375,631,739
539,5377,631,739
539,5378,631,739
539,5474,631,739
521,5475,613,721
521,5476,613,null
539,5477,631,739
539,5478,631,739
721,5481,613,721
521,5482,613,null
539,5483,631,739
521,5484,613,721
539,5485,631,739
521,5486,613,null
539,5487,631,739
521,5488,613,721
521,5489,613,null
539,5491,631,739
521,5492,613,null
539,5493,631,739
521,5494,613,721
539,5495,631,739
521,5496,613,null
521,5497,613,721
721,5498,613,721
539,5499,631,739
521,5500,613,721
