ShiftRepNr_TillNo_1,StoreID,DayRepNr,ShiftRepNr_TillNo_2
1542,0333,1367,1508
5115,0340,1340,1080
3549,0417,1134,1649
4285,0447,1134,1044
4095,0470,1358,1543
2633,0495,1338,1088
2621,0502,1347,1523
4772,0519,1186,376
4862,0521,1259,1359
4751,0533,1149,204
4680,0573,1170,2277
4036,0582,1066,1084
2331,0588,1388,223
3199,0598,1496,1192
1610,0646,1361,1586
4742,0647,1173,2410
4321,0717,1371,1413
4844,0779,1192,1833
5267,0866,1283,536
4900,0884,1185,883
5116,1019,1324,1224
4707,1041,1158,1538
4984,1054,1244,1320
5155,1094,1261,932
4149,1131,1317,1437
4865,1133,1192,1271
5543,1138,1382,367
4542,1155,1130,1925
4281,1189,1143,917
2351,1235,1345,1272
5144,1241,1268,1020
1892,1257,1322,1390
5047,1259,1235,292
4814,1264,1178,1373
2824,1300,1368,2450
4719,1367,1141,884
2294,1459,1172,1247
2152,1462,1352,1298
2863,1791,1191,1510
2870,1807,1158,1686
4199,2179,1354,1943
3099,2261,763,940
5019,2278,1259,1213
2165,2287,1134,2046
2499,2288,1251,975
4419,2296,1292,897
4364,2301,1101,1142
4669,2305,1143,1219
4132,2317,1158,1749
5667,2341,1402,1398
4778,2363,1247,863
4076,2370,1182,971
3778,2380,1254,1568
5025,2381,1229,1930
5477,2407,1312,3566
2065,2434,1317,743
2735,2438,1340,212
5237,2447,1310,2693
4120,2463,1026,1720
5711,2471,1401,310
1706,2500,1126,1361
1143,2956,752,822
2566,2963,709,1459
5677,0009,1137,1076
4748,0014,1135,929
5159,0016,1248,1008
5603,0309,1379,1238
5279,0330,1267,1604
4017,0396,1310,1280
3686,0403,1274,914
2032,0424,1282,1334
4588,0433,1403,1501
4685,0445,1229,1572
2429,0454,1270,494
4730,0597,1155,223
4635,0629,1137,329
4816,0634,1375,223
4781,0650,1275,920
2660,0658,1352,1530
3973,0725,1281,1347
5576,0727,1362,276
2066,0837,1128,1635
3010,0859,1201,80
5034,0872,1257,1399
4589,0878,1132,1378
4667,0932,1282,327
4681,0934,1150,1203
3827,0963,1133,1512
4781,0973,1157,1376
4755,0974,1184,1477
5014,1061,1275,230
5017,1074,1260,1304
5126,1085,1243,95
3121,1089,1135,361
5882,1096,1191,773
5519,1111,1379,1430
4538,1113,1127,699
4384,1129,1207,1344
5340,1135,1366,418
5609,1140,1128,1993
2041,1236,1117,1111
4676,1248,1173,732
2782,1253,1325,1429
5315,1261,1282,212
4816,1414,1152,318
4168,1436,1130,1332
2765,1852,1332,368
5008,1981,1253,1030
3062,2018,1145,1793
3006,2020,1142,1422
5203,2152,1247,2648
3346,2163,1150,3670
4837,2180,1179,2092
4848,2275,1198,2359
4413,2309,1118,614
2548,2314,1240,1705
2310,2350,1211,1581
2943,2354,1146,1181
5218,2392,1364,2155
2388,2403,1172,1297
2225,2409,1358,1527
2822,2416,1327,431
4669,2427,1144,791
2041,2443,1273,1573
2568,2456,1273,230
3731,2465,1270,1487
5176,2483,1265,84
4979,2494,1336,805
4406,2512,1149,1228
2689,2515,1324,1318
2103,2539,1176,2064
2597,2943,701,1369
31,3024,21,26
69,3026,66,74
1579,0310,1234,154
5131,0324,1255,405
5336,0326,1325,1504
4831,0349,1178,691
3652,0356,947,1057
6055,0397,1438,3155
5395,0408,1385,1295
1670,0412,1268,365
3505,0421,1401,1449
4362,0426,1155,1667
4604,0429,1186,1212
5474,0451,1247,3115
5128,0485,1263,1424
5132,0494,1261,1075
4116,0508,1143,1086
4437,0523,1136,1306
4338,0527,1130,2023
5438,0538,1324,675
2562,0551,1278,223
2117,0557,1228,1440
6188,0580,1079,882
5843,0590,1472,3253
2658,0601,1369,223
1930,0661,1386,1524
4558,0668,1130,117
3425,0681,1179,1291
2750,0682,1259,1443
2492,0690,1236,30
2253,0699,1401,294
4124,0703,1309,223
5428,0754,1339,577
5209,0804,1311,531
4841,0864,1256,1812
2254,0919,1135,1136
2832,0943,1435,1672
2335,1018,1251,1545
4735,1069,1226,922
3182,1081,1185,224
2385,1083,1268,1349
4868,1087,1171,600
5660,1147,1369,666
2790,1152,1337,1410
4953,1234,1233,1395
5576,1240,1382,1461
5257,1328,1272,418
4656,1354,1159,636
5543,1408,1308,1413
5681,1491,1405,null
1705,1862,989,1679
3945,1883,1186,2194
832,2143,1309,3088
4478,2164,1163,4599
5043,2279,1235,1505
1969,2294,995,1279
2537,2295,1333,1569
2510,2302,1362,605
2405,2316,1157,1307
4524,2329,1126,801
4079,2356,993,218
3736,2371,1155,899
5424,2393,1326,1730
2460,2404,1367,1443
2239,2423,1353,2051
2362,2444,1157,2279
2261,2445,1121,440
2799,2452,1346,939
2969,2460,1336,2530
4237,2477,1312,1594
2681,2484,1142,265
4748,2493,1137,1264
2537,2521,1198,2007
4596,2524,1127,1796
6408,2533,1373,1216
4825,2537,1189,1470
3028,2955,751,1471
40,2992,31,42
5474,0017,1346,708
4552,0306,1241,1485
1498,0351,1346,1352
3945,0366,1185,1319
2751,0372,1395,1098
2643,0379,1359,845
3975,0384,1276,1041
2785,0386,1316,985
5185,0393,1231,2172
5066,0415,1255,1362
4996,0444,1222,1381
4491,0466,1283,1322
4869,0525,1229,1588
5226,0529,1255,1832
1943,0561,1156,1744
3982,0571,981,871
4811,0611,1151,598
5372,0627,1283,1169
4802,0655,1194,1244
1813,0721,1326,1905
5211,0726,1262,1556
4355,0732,1198,264
4509,0757,1159,568
2538,0784,1341,398
4118,0925,1001,1079
1622,0928,1374,223
4278,0933,1151,928
4959,0958,1250,1647
4003,1052,1140,1261
4618,1180,1142,602
4234,1202,1144,834
5023,1220,1261,1063
5115,1242,1238,807
4117,1246,1278,1845
2554,1247,1153,2242
4485,1249,1167,1215
5213,1260,1268,1122
3610,1309,1380,223
4736,1335,1172,452
4537,1438,1129,1023
5721,1471,1408,1655
3447,1605,1065,1827
3810,1710,1164,1901
1702,1779,975,1079
4865,1805,1243,166
4827,1980,1255,1558
2276,2016,1131,2330
5960,2038,1467,1916
4794,2049,1257,1351
2369,2271,1225,1267
4163,2273,1366,1363
3709,2274,1269,1217
4794,2311,1224,1573
5453,2327,1341,2412
4988,2334,1238,1379
2284,2368,1135,1194
5583,2379,1376,1299
4612,2389,1130,221
2608,2401,1346,1545
1300,2431,1157,1239
1688,2436,1255,1265
2613,2473,1191,1620
5363,2489,1331,1520
2013,2495,1191,1220
5190,2498,1325,1482
4613,2506,1242,132
3382,2509,1241,2313
4965,0011,1233,2353
5703,0015,1378,641
4893,0019,1232,1317
4213,0367,1339,223
4496,0377,1232,524
3115,0381,1128,1777
4400,0398,1140,1177
5136,0435,1259,1406
2710,0438,1347,530
3998,0484,1243,175
4353,0526,1142,1000
4859,0534,1263,102
5509,0560,1363,525
5416,0599,1301,1028
4798,0600,1232,1316
2067,0608,1338,1902
5233,0662,1366,223
5690,0760,1380,1161
2298,0805,1339,880
4974,0889,1340,223
2308,0998,1156,1826
5121,1108,1241,226
5092,1143,1262,1311
4574,1148,1145,124
5423,1233,1331,1541
4383,1767,1131,305
4187,1964,1034,1101
3729,2025,1255,1332
4564,2047,1200,1256
4771,2178,1180,2549
1825,2188,1228,29
4979,2268,1249,1435
2928,2293,1229,1609
2248,2307,1123,2113
4714,2313,1180,1278
5138,2336,1274,211
4314,2347,1127,392
4656,2402,1174,708
1723,2432,1331,1425
5593,2461,1348,534
2781,2475,1353,2786
2335,2478,1346,601
5681,2490,1394,223
4276,2503,1078,2060
3927,2507,1360,1153
2095,2511,1246,2243
4668,2518,1169,15
5282,2526,1260,1137
2867,2946,780,429
2318,2951,725,815
3042,2954,760,61
71,3025,44,61
5596,0018,1379,1186
5470,0300,1337,1105
