Currstock|ProductID|SubDepartmentID|SellingPrice|VatCode|Description|AltDescription|PackSize|CurrentStock|MinimumStock|LabelType|StockOnOrder|PosTextl|ShelfLableText|DiscountGroup|DiscountAmount|DiscountPercent|Price2|Price3|Price4|Bomm|UofMQty|Unit|AvgCost|DepartmentID|LinkNumber|Weight|SoldInCases|ProductType|SeasonId|RoundingMethod|Inactive|ContentsQty|UnitOfMeasure|UnitOfMeasurePPU|InheritOrderParams|IdealStock|CoverDays|UseTargetMargin|WeightItem|ProdNo|SoFormula|Deleted|CourseID|Purpose|DiaWeight|LabelCount|UsePIDTargetMargin|PIDTargetMargin|BOMType|BOMShowOnReceipt|BOMUseCostPrice|BOMProduction|KPInheritFromSubDep|NotForSale|Price5|Price6|StockUnitID|StockUOM|BaseUnitID|BasePrice|ProductCat|PackUOM|PackUnitID|CompUOM|CompUnitID|IngredientPID|BOMForecast|MaxiPrice|DepositPID|NoStock|ExternalType|ExternalCode|IsSecondaryVAT|DepositPID2|ProductCat2|PrimaryVATText|SecondaryVATText|BOSubDepartmentSubDepartmentID|BOSubDepartmentDepartmentID|BOSubDepartmentDescription|BOSubDepartmentVatCode|BOSubDepartmentTargetMargin|BOSubDepartmentIdealStock|BOSubDepartmentMinimumStock|BOSubDepartmentSOFormula|BOSubDepartmentCoverDays|BOSubDepartmentTargetGoodWastagePct|BOSubDepartmentIGCode_Default|BOSubDepartmentMinVisStock|BOSubDepartmentAge|BOSubDepartmentLocalItemsAllow|BODepartmentDepartmentID|BODepartmentDescription|BODepartmentIGCode_Default|BOVatRatesVatCode|BOVatRatesVatRate|BOBarCodeBarCode|BOProductSumOnOrder|BOProductSumSalesLastWeek|BOProductSumSalesYTD|BOProductSumSalesAVG|BOProductSumSellingPrice|BOProductSumCaseQty|BOProductSumCaseCostPrice|BOProductSumMaxPrice|ProductCategoryNumber|ProductCategorysValue1|UnitConvertFromUnitID|UnitConvertToUnitID|UnitConvertFactor|UnitConvertDeleted|UnitConvertLastChanged|UnitConvertUserID|BOProductAVGCostCalculatedAvgCost|BOProductAVGCostAvgCost|BOProductAVGCostLatestCost|BOVatRatesVatCode|BOVatRatesVatRate|BOVatRatesText|BOSupplierProductSupplierID|BOSupplierProductPrimarySupplier|BOSupplierProductSupplierProductID|BOSupplierProductCaseQuantity|BOSupplierProductRecRetailPrice|BOSupplierProductMaxOrderQty|BOSupplierProductMinOrderQty|BOSupplierProductSplitCaseOrder|BOSupplierProductCaseCostPrice|BOSupplierProductWHCaseQty|BOSupplierProductCaseCostPrice2|BOSupplierProductOrderUOM|BOSupplierProductOrderUnitID|BOSupplierProductOrderPack|BOSupplierProductUseStockUnitInGR|BOSupplierProductStockUnitCost|BOSupplierProductCurrCaseCostPrice|BOSupplierProductBaseUnitCost|BOSupplierProductDepositValue|BOSupplierSupplierID|BOSupplierSupplierName|BOSupplierDeleted|BOSupplierCostPricesSupplierID|BOSupplierCostPricesProductID|BOSupplierCostPricesStoreID|BOSupplierCostPricesCaseCostPrice|BOSupplierCostPricesCaseQty|UnitConvert2FromUnitID|UnitConvert2ToUnitID|UnitConvert2Factor|UnitConvert3FromUnitID|UnitConvert3ToUnitID|UnitConvert3Factor|BOProductCategoryText|BOProductCategory2Value|BOProductCategory2Text|UnitCost|Barcode|TargetMargin|BOStockSUMCalculatedCurrStock
0|C0000000034|502206|7.3|3|NORDIC SPIRIT MINT 12MG.|||0|0|T|0|null|NORDIC SPIRIT MINT 12MG|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5022|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|0|false|0||0.0|0|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|7.3|4019|1||1||false|false|7.5||false|0|0|false|||||502206|5022|Other Tobacco|3|0|0|0|0|0|null|04|0|0|false|5022|Tobacco|04|3|20||0|0|0|0.0|7.5|5|27.77|7.5|4019|Tobacco/Cigarettes S|EACH|EACH|1|false|2023-12-11 15:50:53.943|ADMIN|0.0|4.722|4.722|3|20|20% (3)|C000000009|true|92148616|5|7.3|0|0|false|27.77|5|0.0|1|EACH||false|5.554|27.77|5.554|0|C000000009|Booker Ambient|false|C000000009|C0000000034|0462|27.77|5|EACH|EACH|1|EACH|EACH|1||||0.0||0|0
0|C0000000035|502203|32.95|3|CUTTERS CHOICE EX FINE 50G|||0|0|T|0|null|CUTTERS CHOICE EX FINE 50G|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5022|0|0.0|false|   |null|0|false|0|||false|0|0|false|false|0|0|false|0||0.0|0|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|32.95|4019|1||1||false|false|33.2||false|0|0|false|||||502203|5022|RYO|3|0|0|0|0|0|null|04|0|0|false|5022|Tobacco|04|3|20||0|0|0|0.0|33.15|5|125.35|33.2|4019|Tobacco/Cigarettes S|EACH|EACH|1|false|2023-12-11 15:50:53.943|ADMIN|0.0|21.042|21.042|3|20|20% (3)|C000000009|true|92081458|5|32.95|0|0|false|125.35|5|0.0|1|EACH||false|25.07|125.35|25.07|0|C000000009|Booker Ambient|false|C000000009|C0000000035|0462|125.35|5|EACH|EACH|1|EACH|EACH|1||||0.0||0|0
0|C0000000041|502203|34.0|3|L&B ORIGINAL RYO 50G|||0|0|T|0|null|L&B ORIGINAL RYO 50G|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5022|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|0|false|0||0.0|0|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|34.0|4019|1||1||false|false|34.25||false|0|0|false|||||502203|5022|RYO|3|0|0|0|0|0|null|04|0|0|false|5022|Tobacco|04|3|20||0|0|0|0.0|34.2|5|129.39|34.25|4019|Tobacco/Cigarettes S|EACH|EACH|1|false|2023-12-11 15:50:53.943|ADMIN|0.0|19.118|19.118|3|20|20% (3)|C000000009|true|92109913|5|34.0|0|0|false|129.39|5|0.0|1|EACH||false|25.877999999999997|129.39|25.877999999999997|0|C000000009|Booker Ambient|false|C000000009|C0000000041|0462|129.39|5|EACH|EACH|1|EACH|EACH|1||||0.0||0|0
0|C0000000042|502203|32.75|3|RIVERSTONE RYO 50G|||0|0|T|0|null|RIVERSTONE RYO 50G|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5022|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|0|false|0||0.0|0|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|32.75|4019|1||1||false|false|33.0||false|0|0|false|||||502203|5022|RYO|3|0|0|0|0|0|null|04|0|0|false|5022|Tobacco|04|3|20||0|0|0|0.0|32.6|5|124.58|33.0|4019|Tobacco/Cigarettes S|EACH|EACH|1|false|2023-12-11 15:50:53.943|ADMIN|0.0|17.704|17.704|3|20|20% (3)|C000000009|true|92101591|5|32.75|0|0|false|124.58|5|0.0|1|EACH||false|24.916|124.58|24.916|0|C000000009|Booker Ambient|false|C000000009|C0000000042|0462|124.58|5|EACH|EACH|1|EACH|EACH|1||||0.0||0|0
94|C0000000106|502203|1.1|3|RIZLA PAPERS GREEN X1|||0|0|T|0|null|RIZLA PAPERS GREEN X1|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5022|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|0|false|0||0.0|0|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|1.1|4019|1||1||false|false|1.35||false|0|0|false|||||502203|5022|RYO|3|0|0|0|0|0|null|04|0|0|false|5022|Tobacco|04|3|20||0|5|37|4.615384615384615|1.35|100|83.72|1.35|4019|Tobacco/Cigarettes S|EACH|EACH|1|false|2023-12-11 15:50:53.943|ADMIN|0.0|0.494|0.6845|3|20|20% (3)|C000000009|true|44125012|100|1.1|0|0|false|68.45|100|0.0|1|EACH||false|0.6845|68.45|0.6845|0|C000000009|Booker Ambient|false|C000000009|C0000000106|0462|68.45|100|EACH|EACH|1|EACH|EACH|1||||0.0||0|94
43|C0000000243|502203|1.4|3|RIZLA PAPERS KING SIZE SLIM BLUE X1|||0|0|T|0|null|RIZLA PAPERS KING SIZE SLIM BLUE X1|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5022|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|0|false|0||0.0|0|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|1.4|4019|1||1||false|false|1.65||false|0|0|false|||||502203|5022|RYO|3|0|0|0|0|0|null|04|0|0|false|5022|Tobacco|04|3|20||0|7|66|8.923076923076923|1.65|50|45.65|1.65|4019|Tobacco/Cigarettes S|EACH|EACH|1|false|2023-12-11 15:50:53.943|ADMIN|0.0|0.913|0.913|3|20|20% (3)|C000000009|true|44125664|50|1.4|0|0|false|45.65|50|0.0|1|EACH||false|0.9129999999999999|45.65|0.9129999999999999|0|C000000009|Booker Ambient|false|C000000009|C0000000243|0462|45.65|50|EACH|EACH|1|EACH|EACH|1||||0.0||0|43
0|C0000000267|502203|1.1|3|RIZLA PAPERS BLUE X1|||0|0|T|0|null|RIZLA PAPERS BLUE X1|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5022|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|0|false|0||0.0|0|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|1.1|4019|1||1||false|false|1.35||false|0|0|false|||||502203|5022|RYO|3|0|0|0|0|0|null|04|0|0|false|5022|Tobacco|04|3|20||0|0|0|0.0|1.35|100|83.73|1.35|4019|Tobacco/Cigarettes S|EACH|EACH|1|false|2023-12-11 15:50:53.943|ADMIN|0.0|0.206|0.206|3|20|20% (3)|C000000009|true|44125274|100|1.1|0|0|false|68.49|100|0.0|1|EACH||false|0.6849|68.49|0.6849|0|C000000009|Booker Ambient|false|C000000009|C0000000267|0462|68.49|100|EACH|EACH|1|EACH|EACH|1||||0.0||0|0
8|C0000000268|502203|1.4|3|RIZLA PAPERS KING SIZE SLIM SILVER X1|||0|0|T|0|null|RIZLA PAPERS KING SIZE SLIM SILVER X1|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5022|0|0.0|false|   |null|0|false|0|||true|0|0|false|false|0|0|false|0||0.0|0|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|1.4|4019|1||1||false|false|1.65||false|0|0|false|||||502203|5022|RYO|3|0|0|0|0|0|null|04|0|0|false|5022|Tobacco|04|3|20||0|9|69|10.23076923076923|1.65|50|45.66|1.65|4019|Tobacco/Cigarettes S|EACH|EACH|1|false|2023-12-11 15:50:53.943|ADMIN|0.0|0.9132|0.9132|3|20|20% (3)|C000000009|true|44125680|50|1.2|0|0|false|45.66|50|0.0|1|EACH||false|0.9131999999999999|45.66|0.9131999999999999|0|C000000009|Booker Ambient|false|C000000009|C0000000268|0462|45.66|50|EACH|EACH|1|EACH|EACH|1||||0.0||0|8
20|C0000001583|502205|2.15|3|CLIPPER SILVERTOP LIGHTER 1PK|||0|0|T|0|null|CLIPPER SILVERTOP LIGHTER 1PK|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5022|0|0.0|false|   |null|0|false|0|||false|0|0|false|false|0|0|false|0||0.0|0|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|2.15|4019|1||1||false|false|2.2||false|0|0|false|||||502205|5022|Accessories|3|0|0|0|0|0|null|04|0|0|false|5022|Tobacco|04|3|20||0|16|121|18.384615384615383|2.2|40|65.43|2.2|4019|Tobacco/Cigarettes S|EACH|EACH|1|false|2023-12-11 15:50:53.943|ADMIN|0.0|1.636|1.636|3|20|20% (3)|C000000009|true|92036665|40|2.15|0|0|false|65.44|40|0.0|1|EACH||false|1.636|65.44|1.636|0|C000000009|Booker Ambient|false|C000000009|C0000001583|0462|65.44|40|EACH|EACH|1|EACH|EACH|1||||0.0||0|20
0|C0000002359|502206|4.95|3|DELIST NVEE E LIQUID MENTHOL 12MG|||0|0|T|0|null|NVEE E LIQUID MENTHOL 12MG|0|0.0|0|0.0|0.0|0.0| |1|EACH|0.0|5022|0|0.0|false|   |null|0|true|0|||true|0|0|false|false|0|0|false|0||0.0|0|true|0|0|0|0.0|0|false|false|0.0|0.0|EACH|1|EACH|4.95|4019|1||1||false|false|4.99||false|0|0|false|||||502206|5022|Other Tobacco|3|0|0|0|0|0|null|04|0|0|false|5022|Tobacco|04|3|20||0|0|0|0.0|4.99|1|2.5|4.99|4019|Tobacco/Cigarettes S|EACH|EACH|1|false|2023-12-11 15:50:53.943|ADMIN|0.0|2.5|2.5|3|20|20% (3)|C000000023|true|84312|1|0.0|0|0|false|2.5|1|0.0|1|EACH||false|2.5|2.5|2.5|0|C000000023|Galaxy Connect Ltd|false|C000000023|C0000002359|0462|2.5|1|EACH|EACH|1|EACH|EACH|1||||0.0||0|0
